listingID,symbol,name,active,tracked
1,MMM,3M Company,1,1
2,ABT,Abbott Laboratories,1,1
3,ABBV,AbbVie Inc.,1,1
4,ABMD,ABIOMED Inc,1,1
5,ACN,Accenture plc,1,1
6,ATVI,Activision Blizzard,1,1
7,ADBE,Adobe Inc.,1,1
8,AMD,Advanced Micro Devices Inc,1,1
9,AAP,Advance Auto Parts,1,1
10,AES,AES Corp,1,1
11,AFL,AFLAC Inc,1,1
12,A,Agilent Technologies Inc,1,1
13,APD,Air Products & Chemicals Inc,1,1
14,AKAM,Akamai Technologies Inc,1,1
15,ALK,Alaska Air Group Inc,1,1
16,ALB,Albemarle Corp,1,1
17,ARE,Alexandria Real Estate Equities,1,1
18,ALXN,Alexion Pharmaceuticals,1,1
19,ALGN,Align Technology,1,1
20,ALLE,Allegion,1,1
21,LNT,Alliant Energy Corp,1,1
22,ALL,Allstate Corp,1,1
23,GOOGL,Alphabet Inc. (Class A),1,1
24,GOOG,Alphabet Inc. (Class C),1,1
25,MO,Altria Group Inc,1,1
26,AMZN,Amazon.com Inc.,1,1
27,AMCR,Amcor plc,1,1
28,AEE,Ameren Corp,1,1
29,AAL,American Airlines Group,1,1
30,AEP,American Electric Power,1,1
31,AXP,American Express Co,1,1
32,AIG,American International Group,1,1
33,AMT,American Tower Corp.,1,1
34,AWK,American Water Works Company Inc,1,1
35,AMP,Ameriprise Financial,1,1
36,ABC,AmerisourceBergen Corp,1,1
37,AME,AMETEK Inc.,1,1
38,AMGN,Amgen Inc.,1,1
39,APH,Amphenol Corp,1,1
40,ADI,"Analog Devices, Inc.",1,1
41,ANSS,ANSYS,1,1
42,ANTM,Anthem,1,1
43,AON,Aon plc,1,1
44,AOS,A.O. Smith Corp,1,1
45,APA,Apache Corporation,1,1
46,AIV,Apartment Investment & Management,1,1
47,AAPL,Apple Inc.,1,1
48,AMAT,Applied Materials Inc.,1,1
49,APTV,Aptiv PLC,1,1
50,ADM,Archer-Daniels-Midland Co,1,1
51,ANET,Arista Networks,1,1
52,AJG,Arthur J. Gallagher & Co.,1,1
53,AIZ,Assurant,1,1
54,T,AT&T Inc.,1,1
55,ATO,Atmos Energy,1,1
56,ADSK,Autodesk Inc.,1,1
57,ADP,Automatic Data Processing,1,1
58,AZO,AutoZone Inc,1,1
59,AVB,AvalonBay Communities,1,1
60,AVY,Avery Dennison Corp,1,1
61,BKR,Baker Hughes Co,1,1
62,BLL,Ball Corp,1,1
63,BAC,Bank of America Corp,1,1
64,BK,The Bank of New York Mellon,1,1
65,BAX,Baxter International Inc.,1,1
66,BDX,Becton Dickinson,1,1
67,BBY,Best Buy Co. Inc.,1,1
68,BIO,Bio-Rad Laboratories,1,1
69,BIIB,Biogen Inc.,1,1
70,BLK,BlackRock,1,1
71,BA,Boeing Company,1,1
72,BKNG,Booking Holdings Inc,1,1
73,BWA,BorgWarner,1,1
74,BXP,Boston Properties,1,1
75,BSX,Boston Scientific,1,1
76,BMY,Bristol-Myers Squibb,1,1
77,AVGO,Broadcom Inc.,1,1
78,BR,Broadridge Financial Solutions,1,1
79,CHRW,C. H. Robinson Worldwide,1,1
80,COG,Cabot Oil & Gas,1,1
81,CDNS,Cadence Design Systems,1,1
82,CPB,Campbell Soup,1,1
83,COF,Capital One Financial,1,1
84,CAH,Cardinal Health Inc.,1,1
85,KMX,Carmax Inc,1,1
86,CCL,Carnival Corp.,1,1
87,CARR,Carrier Global,1,1
88,CTLT,Catalent,1,1
89,CAT,Caterpillar Inc.,1,1
90,CBOE,Cboe Global Markets,1,1
91,CBRE,CBRE Group,1,1
92,CDW,CDW,1,1
93,CE,Celanese,1,1
94,CNC,Centene Corporation,1,1
95,CNP,CenterPoint Energy,1,1
96,CERN,Cerner,1,1
97,CF,CF Industries Holdings Inc,1,1
98,SCHW,Charles Schwab Corporation,1,1
99,CHTR,Charter Communications,1,1
100,CVX,Chevron Corp.,1,1
101,CMG,Chipotle Mexican Grill,1,1
102,CB,Chubb Limited,1,1
103,CHD,Church & Dwight,1,1
104,CI,CIGNA Corp.,1,1
105,CINF,Cincinnati Financial,1,1
106,CTAS,Cintas Corporation,1,1
107,CSCO,Cisco Systems,1,1
108,C,Citigroup Inc.,1,1
109,CFG,Citizens Financial Group,1,1
110,CTXS,Citrix Systems,1,1
111,CLX,The Clorox Company,1,1
112,CME,CME Group Inc.,1,1
113,CMS,CMS Energy,1,1
114,KO,Coca-Cola Company,1,1
115,CTSH,Cognizant Technology Solutions,1,1
116,CL,Colgate-Palmolive,1,1
117,CMCSA,Comcast Corp.,1,1
118,CMA,Comerica Inc.,1,1
119,CAG,Conagra Brands,1,1
120,CXO,Concho Resources,1,1
121,COP,ConocoPhillips,1,1
122,ED,Consolidated Edison,1,1
123,STZ,Constellation Brands,1,1
124,COO,The Cooper Companies,1,1
125,CPRT,Copart Inc,1,1
126,GLW,Corning Inc.,1,1
127,CTVA,Corteva,1,1
128,COST,Costco Wholesale Corp.,1,1
129,CCI,Crown Castle International Corp.,1,1
130,CSX,CSX Corp.,1,1
131,CMI,Cummins Inc.,1,1
132,CVS,CVS Health,1,1
133,DHI,D. R. Horton,1,1
134,DHR,Danaher Corp.,1,1
135,DRI,Darden Restaurants,1,1
136,DVA,DaVita Inc.,1,1
137,DE,Deere & Co.,1,1
138,DAL,Delta Air Lines Inc.,1,1
139,XRAY,Dentsply Sirona,1,1
140,DVN,Devon Energy,1,1
141,DXCM,DexCom,1,1
142,FANG,Diamondback Energy,1,1
143,DLR,Digital Realty Trust Inc,1,1
144,DFS,Discover Financial Services,1,1
145,DISCA,"Discovery, Inc. (Class A)",1,1
